symbol,config,mse_h1,mse_h5,mse_h22,mse_avg
.N225,diag_n200_sn0.90,0.5015349859712407,0.6478611347727112,0.9506387893790827,0.7000116367076782
.N225,diag_n200_sn0.95,0.5017869243417432,0.6532282626899469,0.9608749460152224,0.7052967110156375
.N225,diag_p2_n100_sn0.90,0.5019567673970604,0.6563583760255498,0.968273658484179,0.7088629339689297
.N225,diag_p2_n100_sn0.95,0.5020377388104809,0.6555986821122252,0.9799103250863882,0.7125155820030314
.N225,aug_n100_sn0.90,0.5024351167004968,0.6492669182724017,0.9491263061638165,0.7002761137122384
.N225,aug_n100_sn0.95,0.5031101532103378,0.6479456972975363,0.9664458199303531,0.7058338901460757
.NSEI,HAR,0.3670363647106461,0.4461595020926408,0.5605449700375034,0.4579136122802634
.NSEI,HAR_Ridge,0.3670382358386429,0.44695160682720153,0.5629371161628633,0.4589756529429026
.NSEI,diag_n100_sn0.80,0.3678542119685078,0.45621437858438085,1.2493492571809819,0.6911392825779569
.NSEI,diag_n100_sn0.90,0.3649665573927435,0.44128566558854376,0.5716294052932555,0.4592938760915142
.NSEI,diag_n100_sn0.95,0.36238174794124994,0.43801047726510833,0.58301286341197,0.46113502953944274
.NSEI,diag_n100_sn0.99,0.359937024865988,0.43815069931304934,0.5925654907636632,0.4635510716475668
.NSEI,diag_n200_sn0.90,0.36321603822706233,0.4435438033696323,0.5726879011134622,0.4598159142367189
.NSEI,diag_n200_sn0.95,0.36201529637725616,0.44003457413167235,0.565175021907374,0.4557416308054341
.NSEI,diag_p2_n100_sn0.90,0.3615700116122967,0.44146718831169757,0.6037853924255383,0.46894086411651087
.NSEI,diag_p2_n100_sn0.95,0.3593602218954713,0.43934873028820803,0.584834905099526,0.4611812857610684
.NSEI,aug_n100_sn0.90,0.36463877743561685,0.4476822460117611,0.5724213577390899,0.4615807937288226
.NSEI,aug_n100_sn0.95,0.365905348001363,0.46753416299371725,0.5795047627260858,0.47098142457372205
.OMXC20,HAR,0.5140028537159822,0.589116424876688,0.6698334201174785,0.5909842329033829
.OMXC20,HAR_Ridge,0.5138486932502041,0.5888848231569629,0.6697974029890235,0.5908436397987301
.OMXC20,diag_n100_sn0.80,0.5139132794212659,0.5946922683403902,0.6867983441808306,0.5984679639808289
.OMXC20,diag_n100_sn0.90,0.5111831076820816,0.5890224032764485,0.6791758026144643,0.5931271045243315
.OMXC20,diag_n100_sn0.95,0.5098639920817416,0.5867109736273921,0.6609471868379139,0.5858407175156826
.OMXC20,diag_n100_sn0.99,0.5115038906604851,0.5812695075870018,0.6507855060978048,0.5811863014484305
.OMXC20,diag_n200_sn0.90,0.5115929900963841,0.589956104650286,0.7004733694915255,0.6006741547460652
.OMXC20,diag_n200_sn0.95,0.5102166913847226,0.585430605711948,0.6607504080045437,0.5854659017004048
.OMXC20,diag_p2_n100_sn0.90,0.5121963949986714,0.5924951958021668,0.7120114718242009,0.6055676875416798
.OMXC20,diag_p2_n100_sn0.95,0.5108693873637825,0.5876121997191832,0.7037554681412297,0.6007456850747318
