sym,dgp_seed,horizon,alpha_idx,alpha,log10_alpha,oos_mse
.BFX,137,1,0,0.0001,-4.0,0.4701991870395938
.BFX,137,1,1,0.00017782794100389227,-3.75,34.894380182071
.BFX,137,1,2,0.00031622776601683794,-3.5,0.4586066807866153
.BFX,137,1,3,0.0005623413251903491,-3.25,0.4557879079606384
.BFX,137,1,4,0.001,-3.0,0.4539816539198663
.BFX,137,1,5,0.0017782794100389228,-2.75,0.4531244571500775
.BFX,137,1,6,0.0031622776601683794,-2.5,0.4528871620929314
.BFX,137,1,7,0.005623413251903491,-2.25,0.4527365944469623
.BFX,137,1,8,0.01,-2.0,0.45254854097634234
.BFX,137,1,9,0.01778279410038923,-1.75,0.4522820400706083
.BFX,137,1,10,0.03162277660168379,-1.5,0.45192503261059697
.BFX,137,1,11,0.05623413251903491,-1.25,0.45149582312848574
.BFX,137,1,12,0.1,-1.0,0.45103468560541593
.BFX,137,1,13,0.1778279410038923,-0.75,0.45058665305587353
.BFX,137,1,14,0.31622776601683794,-0.5,0.4501839985449207
.BFX,137,1,15,0.5623413251903491,-0.25,0.4498431712418231
.BFX,137,1,16,1.0,0.0,0.44956942091219426
.BFX,137,1,17,1.7782794100389228,0.25,0.4493597451683186
.BFX,137,1,18,3.1622776601683795,0.5,0.4492096230402564
.BFX,137,1,19,5.623413251903491,0.75,0.4491248509784543
.BFX,137,1,20,10.0,1.0,0.4491288300062173
.BFX,137,1,21,17.78279410038923,1.25,0.4492589485418616
.BFX,137,1,22,31.622776601683793,1.5,0.4495582906386425
.BFX,137,1,23,56.23413251903491,1.75,0.4500885791201285
.BFX,137,1,24,100.0,2.0,0.4509845761882906
.BFX,137,1,25,177.82794100389228,2.25,0.4525032512980139
.BFX,137,1,26,316.22776601683796,2.5,0.4550320673318741
.BFX,137,1,27,562.341325190349,2.75,0.4592581877356334
.BFX,137,1,28,1000.0,3.0,0.4669236389072631
.BFX,137,1,29,1778.2794100389228,3.25,0.48240289545713994
.BFX,137,1,30,3162.2776601683795,3.5,0.5145015479189388
.BFX,137,1,31,5623.413251903491,3.75,0.5759069925102903
.BFX,137,1,32,10000.0,4.0,0.6766889273082203
.BFX,137,1,33,17782.794100389227,4.25,0.8149277380855289
.BFX,137,1,34,31622.776601683792,4.5,0.9766802414401949
.BFX,137,1,35,56234.13251903491,4.75,1.146616214673371
.BFX,137,1,36,100000.0,5.0,1.3131380102229233
.BFX,256,1,0,0.0001,-4.0,0.4392076293369729
.BFX,256,1,1,0.00017782794100389227,-3.75,0.6691401773313542
.BFX,256,1,2,0.00031622776601683794,-3.5,0.38771123403347296
.BFX,256,1,3,0.0005623413251903491,-3.25,0.3865081916144155
.BFX,256,1,4,0.001,-3.0,0.38622921056907766
.BFX,256,1,5,0.0017782794100389228,-2.75,0.3859880079534417
.BFX,256,1,6,0.0031622776601683794,-2.5,0.3857794042137691
.BFX,256,1,7,0.005623413251903491,-2.25,0.3856355033563073
.BFX,256,1,8,0.01,-2.0,0.3855834113522934
.BFX,256,1,9,0.01778279410038923,-1.75,0.3856272826710171
.BFX,256,1,10,0.03162277660168379,-1.5,0.3857445700461013
.BFX,256,1,11,0.05623413251903491,-1.25,0.385897335198639
.BFX,256,1,12,0.1,-1.0,0.38605051879909646
.BFX,256,1,13,0.1778279410038923,-0.75,0.386193516494455
.BFX,256,1,14,0.31622776601683794,-0.5,0.3863505682653664
.BFX,256,1,15,0.5623413251903491,-0.25,0.3865556785666755
.BFX,256,1,16,1.0,0.0,0.3868056792835287
