sym,dgp_seed,horizon,alpha_idx,alpha,log10_alpha,oos_mse
.BFX,137,1,24,100.0,2.0,0.25095551095629154
.BFX,137,1,25,177.82794100389228,2.25,0.2526171402508135
.BFX,137,1,26,316.22776601683796,2.5,0.2563648353777883
.BFX,137,1,27,562.341325190349,2.75,0.26447464332052556
.BFX,137,1,28,1000.0,3.0,0.2804317305957515
.BFX,137,1,29,1778.2794100389228,3.25,0.3085797181610952
.BFX,137,1,30,3162.2776601683795,3.5,0.3537851781640302
.BFX,137,1,31,5623.413251903491,3.75,0.4207427026135062
.BFX,137,1,32,10000.0,4.0,0.5118721360534815
.BFX,137,1,33,17782.794100389227,4.25,0.6250383317175692
.BFX,137,1,34,31622.776601683792,4.5,0.7524006118936822
.BFX,137,1,35,56234.13251903491,4.75,0.880180785813665
.BFX,137,1,36,100000.0,5.0,0.9924953698146145
.BFX,256,1,0,0.0001,-4.0,0.2543237530964851
.BFX,256,1,1,0.00017782794100389227,-3.75,0.2482503069426307
.BFX,256,1,2,0.00031622776601683794,-3.5,0.2480294896522414
.BFX,256,1,3,0.0005623413251903491,-3.25,0.24791502743265015
.BFX,256,1,4,0.001,-3.0,0.24783927736042968
.BFX,256,1,5,0.0017782794100389228,-2.75,0.2477791940979098
.BFX,256,1,6,0.0031622776601683794,-2.5,0.24771023676421766
.BFX,256,1,7,0.005623413251903491,-2.25,0.24761912763171964
.BFX,256,1,8,0.01,-2.0,0.2475147532161804
.BFX,256,1,9,0.01778279410038923,-1.75,0.24742359344453438
.BFX,256,1,10,0.03162277660168379,-1.5,0.24737210336925447
.BFX,256,1,11,0.05623413251903491,-1.25,0.2473703306746422
.BFX,256,1,12,0.1,-1.0,0.24740394654065728
.BFX,256,1,13,0.1778279410038923,-0.75,0.24743885304252136
.BFX,256,1,14,0.31622776601683794,-0.5,0.24744117870396592
.BFX,256,1,15,0.5623413251903491,-0.25,0.24739474600820055
.BFX,256,1,16,1.0,0.0,0.24729990270965752
.BFX,256,1,17,1.7782794100389228,0.25,0.24716149721914518
.BFX,256,1,18,3.1622776601683795,0.5,0.2469838632459777
.BFX,256,1,19,5.623413251903491,0.75,0.2467765617116487
.BFX,256,1,20,10.0,1.0,0.2465591038902102
.BFX,256,1,21,17.78279410038923,1.25,0.24636062771485587
.BFX,256,1,22,31.622776601683793,1.5,0.2462197559979097
.BFX,256,1,23,56.23413251903491,1.75,0.24619317873662708
.BFX,256,1,24,100.0,2.0,0.24639158082339907
.BFX,256,1,25,177.82794100389228,2.25,0.24707415407924438
.BFX,256,1,26,316.22776601683796,2.5,0.24886884082695537
.BFX,256,1,27,562.341325190349,2.75,0.2532631985276112
.BFX,256,1,28,1000.0,3.0,0.2634477833187555
.BFX,256,1,29,1778.2794100389228,3.25,0.28499523823623435
.BFX,256,1,30,3162.2776601683795,3.5,0.32505482582155176
.BFX,256,1,31,5623.413251903491,3.75,0.3890127996737537
.BFX,256,1,32,10000.0,4.0,0.4754441851080542
.BFX,256,1,33,17782.794100389227,4.25,0.5736948613653298
.BFX,256,1,34,31622.776601683792,4.5,0.668842827377298
.BFX,256,1,35,56234.13251903491,4.75,0.749738119637102
.BFX,256,1,36,100000.0,5.0,0.8119195900668431
.BSESN,42,1,0,0.0001,-4.0,10.349288589066056
.BSESN,42,1,1,0.00017782794100389227,-3.75,0.30107020277001784
.BSESN,42,1,2,0.00031622776601683794,-3.5,0.39141535618252277
.BSESN,42,1,3,0.0005623413251903491,-3.25,0.2952826214603932
.BSESN,42,1,4,0.001,-3.0,0.2894573425912857
.BSESN,42,1,5,0.0017782794100389228,-2.75,0.2886239546189526
.BSESN,42,1,6,0.0031622776601683794,-2.5,0.28842028914830015
.BSESN,42,1,7,0.005623413251903491,-2.25,0.2882675874454885
.BSESN,42,1,8,0.01,-2.0,0.28815174618061085
.BSESN,42,1,9,0.01778279410038923,-1.75,0.2880543778313849
.BSESN,42,1,10,0.03162277660168379,-1.5,0.2879560659585863
.BSESN,42,1,11,0.05623413251903491,-1.25,0.28784331378970934
.BSESN,42,1,12,0.1,-1.0,0.28771261103147955
.BSESN,42,1,13,0.1778279410038923,-0.75,0.28756720835462884
.BSESN,42,1,14,0.31622776601683794,-0.5,0.28741124628210707
.BSESN,42,1,15,0.5623413251903491,-0.25,0.2872462490541948
.BSESN,42,1,16,1.0,0.0,0.28707121760554377
.BSESN,42,1,17,1.7782794100389228,0.25,0.28688410979746826
.BSESN,42,1,18,3.1622776601683795,0.5,0.28668300346537945
.BSESN,42,1,19,5.623413251903491,0.75,0.286469549119065
.BSESN,42,1,20,10.0,1.0,0.2862589305552658
.BSESN,42,1,21,17.78279410038923,1.25,0.2860943638479695
.BSESN,42,1,22,31.622776601683793,1.5,0.2860688329073619
.BSESN,42,1,23,56.23413251903491,1.75,0.28637686106950794
.BSESN,42,1,24,100.0,2.0,0.2873811643055801
.BSESN,42,1,25,177.82794100389228,2.25,0.2895680196097241
.BSESN,42,1,26,316.22776601683796,2.5,0.2933172857835975
.BSESN,42,1,27,562.341325190349,2.75,0.298828876961684
.BSESN,42,1,28,1000.0,3.0,0.30674998096818235
.BSESN,42,1,29,1778.2794100389228,3.25,0.3193273238691838
